candidate_axis,program_axis,priority_rank,evidence_layer,metric_used,threshold_for_plus,threshold_for_double_plus,observed_value,assigned_score,numeric_score,interpretation,candidate_rationale
matrix-integrin,SPP1-TAM/matrix,1,CAF-core enrichment,ligand_core_median; ligand_core_support_fraction,ligand_core_median > 0,ligand_core_median >= 0.45,ligand_core_median=0.545267; ligand_core_support_fraction=1,++,1.0,Candidate ligand/module signal is enriched in CAF-core spots across tumor contexts.,ECM ligands in CAF core with integrin/adhesion response at tumor-stroma interfaces.
matrix-integrin,SPP1-TAM/matrix,1,Interface enrichment,receptor_interface_median and interface_response_median,either receptor_interface_median > 0 or interface_response_median > 0,receptor_interface_median >= 0.25 or interface_response_median >= 0.45,receptor_interface_median=0.263651; interface_response_median=0.349036,++,1.0,Candidate receptor or response programs are enriched at tumor-stroma interfaces.,ECM ligands in CAF core with integrin/adhesion response at tumor-stroma interfaces.
matrix-integrin,SPP1-TAM/matrix,1,Directional core-to-interface score,directional_score_median; directional_support_fraction,directional_score_median > 0,directional_score_median >= 0.85,directional_score_median=1.15837; directional_support_fraction=1,++,1.0,"Ligand-core, receptor-interface and response-interface signals align along the CAF-core-to-interface axis.",ECM ligands in CAF core with integrin/adhesion response at tumor-stroma interfaces.
matrix-integrin,SPP1-TAM/matrix,1,Immune-decoupling association,lr_rho_with_immune_decoupling; lr_p_with_immune_decoupling,rho > 0.10,rho > 0.15 and p < 0.05,lr_rho_with_immune_decoupling=0.324235; lr_p_with_immune_decoupling=9.30151e-05,++,1.0,Candidate directional/interface score is positively associated with immune decoupling.,ECM ligands in CAF core with integrin/adhesion response at tumor-stroma interfaces.
matrix-integrin,SPP1-TAM/matrix,1,Targeted-gene support,targeted_gene_core_median; targeted_gene_core_support_fraction; targeted_gene_interface_median,targeted_gene_core_median > 0,targeted_gene_core_median > 0.5 and core_support_fraction >= 0.75,targeted_gene_core_median=1.23403; targeted_gene_core_support_fraction=1; targeted_gene_interface_median=0.81699,++,1.0,Targeted genes for the candidate axis are enriched in CAF cores and/or interfaces.,ECM ligands in CAF core with integrin/adhesion response at tumor-stroma interfaces.
matrix-integrin,SPP1-TAM/matrix,1,Xenium support,xenium_median_delta_vs_random; xenium_support_fraction; xenium_target_programs,xenium_support_fraction >= 0.50,xenium_support_fraction >= 0.75 and median_delta_vs_random < 0,xenium_median_delta_vs_random=-0.292465; xenium_support_fraction=1; xenium_target_programs=SPP1_TAM;TGFb_EMT,++,1.0,Targeted-panel Xenium cell-level analysis supports CAF-domain centering of the relevant target program.,ECM ligands in CAF core with integrin/adhesion response at tumor-stroma interfaces.
matrix-integrin,SPP1-TAM/matrix,1,TCGA bulk context,tcga_stromal_myeloid_rho; tcga_stromal_myeloid_p; tcga_decoupling_like_rho,tcga_decoupling_like_rho > 0.15,tcga_stromal_myeloid_rho > 0.35 and p < 0.05,tcga_stromal_myeloid_rho=0.911623; tcga_stromal_myeloid_p=7.23541e-70; tcga_decoupling_like_rho=0.598597,++,1.0,Bulk TCGA PAAD places the candidate axis in a broader stromal-myeloid context; this is non-spatial support only.,ECM ligands in CAF core with integrin/adhesion response at tumor-stroma interfaces.
SPP1-CD44/integrin,SPP1-TAM/matrix,2,CAF-core enrichment,ligand_core_median; ligand_core_support_fraction,ligand_core_median > 0,ligand_core_median >= 0.45,ligand_core_median=0.672607; ligand_core_support_fraction=0.857143,++,1.0,Candidate ligand/module signal is enriched in CAF-core spots across tumor contexts.,SPP1-high myeloid/matrix program coupled to CD44/integrin interface response.
SPP1-CD44/integrin,SPP1-TAM/matrix,2,Interface enrichment,receptor_interface_median and interface_response_median,either receptor_interface_median > 0 or interface_response_median > 0,receptor_interface_median >= 0.25 or interface_response_median >= 0.45,receptor_interface_median=0.271599; interface_response_median=0.372128,++,1.0,Candidate receptor or response programs are enriched at tumor-stroma interfaces.,SPP1-high myeloid/matrix program coupled to CD44/integrin interface response.
SPP1-CD44/integrin,SPP1-TAM/matrix,2,Directional core-to-interface score,directional_score_median; directional_support_fraction,directional_score_median > 0,directional_score_median >= 0.85,directional_score_median=1.33451; directional_support_fraction=0.985714,++,1.0,"Ligand-core, receptor-interface and response-interface signals align along the CAF-core-to-interface axis.",SPP1-high myeloid/matrix program coupled to CD44/integrin interface response.
SPP1-CD44/integrin,SPP1-TAM/matrix,2,Immune-decoupling association,lr_rho_with_immune_decoupling; lr_p_with_immune_decoupling,rho > 0.10,rho > 0.15 and p < 0.05,lr_rho_with_immune_decoupling=0.170523; lr_p_with_immune_decoupling=0.043973,++,1.0,Candidate directional/interface score is positively associated with immune decoupling.,SPP1-high myeloid/matrix program coupled to CD44/integrin interface response.
SPP1-CD44/integrin,SPP1-TAM/matrix,2,Targeted-gene support,targeted_gene_core_median; targeted_gene_core_support_fraction; targeted_gene_interface_median,targeted_gene_core_median > 0,targeted_gene_core_median > 0.5 and core_support_fraction >= 0.75,targeted_gene_core_median=1.23403; targeted_gene_core_support_fraction=1; targeted_gene_interface_median=0.81699,++,1.0,Targeted genes for the candidate axis are enriched in CAF cores and/or interfaces.,SPP1-high myeloid/matrix program coupled to CD44/integrin interface response.
SPP1-CD44/integrin,SPP1-TAM/matrix,2,Xenium support,xenium_median_delta_vs_random; xenium_support_fraction; xenium_target_programs,xenium_support_fraction >= 0.50,xenium_support_fraction >= 0.75 and median_delta_vs_random < 0,xenium_median_delta_vs_random=-0.419757; xenium_support_fraction=1; xenium_target_programs=SPP1_TAM,++,1.0,Targeted-panel Xenium cell-level analysis supports CAF-domain centering of the relevant target program.,SPP1-high myeloid/matrix program coupled to CD44/integrin interface response.
SPP1-CD44/integrin,SPP1-TAM/matrix,2,TCGA bulk context,tcga_stromal_myeloid_rho; tcga_stromal_myeloid_p; tcga_decoupling_like_rho,tcga_decoupling_like_rho > 0.15,tcga_stromal_myeloid_rho > 0.35 and p < 0.05,tcga_stromal_myeloid_rho=0.711859; tcga_stromal_myeloid_p=8.2082e-29; tcga_decoupling_like_rho=0.0631697,++,1.0,Bulk TCGA PAAD places the candidate axis in a broader stromal-myeloid context; this is non-spatial support only.,SPP1-high myeloid/matrix program coupled to CD44/integrin interface response.
TGF-beta/TGFBR,TGF-beta/EMT invasive,3,CAF-core enrichment,ligand_core_median; ligand_core_support_fraction,ligand_core_median > 0,ligand_core_median >= 0.45,ligand_core_median=0.346612; ligand_core_support_fraction=0.992857,+,0.5,Candidate ligand/module signal is enriched in CAF-core spots across tumor contexts.,TGF-beta ligand-response axis linking CAF-rich domains to invasive EMT-like interface states.
TGF-beta/TGFBR,TGF-beta/EMT invasive,3,Interface enrichment,receptor_interface_median and interface_response_median,either receptor_interface_median > 0 or interface_response_median > 0,receptor_interface_median >= 0.25 or interface_response_median >= 0.45,receptor_interface_median=0.0803025; interface_response_median=0.337133,+,0.5,Candidate receptor or response programs are enriched at tumor-stroma interfaces.,TGF-beta ligand-response axis linking CAF-rich domains to invasive EMT-like interface states.
TGF-beta/TGFBR,TGF-beta/EMT invasive,3,Directional core-to-interface score,directional_score_median; directional_support_fraction,directional_score_median > 0,directional_score_median >= 0.85,directional_score_median=0.853086; directional_support_fraction=0.992857,++,1.0,"Ligand-core, receptor-interface and response-interface signals align along the CAF-core-to-interface axis.",TGF-beta ligand-response axis linking CAF-rich domains to invasive EMT-like interface states.
TGF-beta/TGFBR,TGF-beta/EMT invasive,3,Immune-decoupling association,lr_rho_with_immune_decoupling; lr_p_with_immune_decoupling,rho > 0.10,rho > 0.15 and p < 0.05,lr_rho_with_immune_decoupling=0.133502; lr_p_with_immune_decoupling=0.115833,+,0.5,Candidate directional/interface score is positively associated with immune decoupling.,TGF-beta ligand-response axis linking CAF-rich domains to invasive EMT-like interface states.
TGF-beta/TGFBR,TGF-beta/EMT invasive,3,Targeted-gene support,targeted_gene_core_median; targeted_gene_core_support_fraction; targeted_gene_interface_median,targeted_gene_core_median > 0,targeted_gene_core_median > 0.5 and core_support_fraction >= 0.75,targeted_gene_core_median=1.16778; targeted_gene_core_support_fraction=1; targeted_gene_interface_median=0.653299,++,1.0,Targeted genes for the candidate axis are enriched in CAF cores and/or interfaces.,TGF-beta ligand-response axis linking CAF-rich domains to invasive EMT-like interface states.
TGF-beta/TGFBR,TGF-beta/EMT invasive,3,Xenium support,xenium_median_delta_vs_random; xenium_support_fraction; xenium_target_programs,xenium_support_fraction >= 0.50,xenium_support_fraction >= 0.75 and median_delta_vs_random < 0,xenium_median_delta_vs_random=-0.165172; xenium_support_fraction=1; xenium_target_programs=TGFb_EMT,++,1.0,Targeted-panel Xenium cell-level analysis supports CAF-domain centering of the relevant target program.,TGF-beta ligand-response axis linking CAF-rich domains to invasive EMT-like interface states.
TGF-beta/TGFBR,TGF-beta/EMT invasive,3,TCGA bulk context,tcga_stromal_myeloid_rho; tcga_stromal_myeloid_p; tcga_decoupling_like_rho,tcga_decoupling_like_rho > 0.15,tcga_stromal_myeloid_rho > 0.35 and p < 0.05,tcga_stromal_myeloid_rho=0.918585; tcga_stromal_myeloid_p=7.23045e-73; tcga_decoupling_like_rho=0.494128,++,1.0,Bulk TCGA PAAD places the candidate axis in a broader stromal-myeloid context; this is non-spatial support only.,TGF-beta ligand-response axis linking CAF-rich domains to invasive EMT-like interface states.
IL6-OSM/LIF-JAKSTAT,IFN/APC antigen,4,CAF-core enrichment,ligand_core_median; ligand_core_support_fraction,ligand_core_median > 0,ligand_core_median >= 0.45,ligand_core_median=0.262962; ligand_core_support_fraction=0.985714,+,0.5,Candidate ligand/module signal is enriched in CAF-core spots across tumor contexts.,Inflammatory cytokine/JAK-STAT candidate axis near antigen-presenting immune programs.
IL6-OSM/LIF-JAKSTAT,IFN/APC antigen,4,Interface enrichment,receptor_interface_median and interface_response_median,either receptor_interface_median > 0 or interface_response_median > 0,receptor_interface_median >= 0.25 or interface_response_median >= 0.45,receptor_interface_median=0.0277129; interface_response_median=0.111807,+,0.5,Candidate receptor or response programs are enriched at tumor-stroma interfaces.,Inflammatory cytokine/JAK-STAT candidate axis near antigen-presenting immune programs.
IL6-OSM/LIF-JAKSTAT,IFN/APC antigen,4,Directional core-to-interface score,directional_score_median; directional_support_fraction,directional_score_median > 0,directional_score_median >= 0.85,directional_score_median=0.369775; directional_support_fraction=0.892857,+,0.5,"Ligand-core, receptor-interface and response-interface signals align along the CAF-core-to-interface axis.",Inflammatory cytokine/JAK-STAT candidate axis near antigen-presenting immune programs.
IL6-OSM/LIF-JAKSTAT,IFN/APC antigen,4,Immune-decoupling association,lr_rho_with_immune_decoupling; lr_p_with_immune_decoupling,rho > 0.10,rho > 0.15 and p < 0.05,lr_rho_with_immune_decoupling=-0.0802519; lr_p_with_immune_decoupling=0.345905,0,0.0,Candidate directional/interface score is positively associated with immune decoupling.,Inflammatory cytokine/JAK-STAT candidate axis near antigen-presenting immune programs.
IL6-OSM/LIF-JAKSTAT,IFN/APC antigen,4,Targeted-gene support,targeted_gene_core_median; targeted_gene_core_support_fraction; targeted_gene_interface_median,targeted_gene_core_median > 0,targeted_gene_core_median > 0.5 and core_support_fraction >= 0.75,targeted_gene_core_median=0.705734; targeted_gene_core_support_fraction=0.971429; targeted_gene_interface_median=0.345436,++,1.0,Targeted genes for the candidate axis are enriched in CAF cores and/or interfaces.,Inflammatory cytokine/JAK-STAT candidate axis near antigen-presenting immune programs.
IL6-OSM/LIF-JAKSTAT,IFN/APC antigen,4,Xenium support,xenium_median_delta_vs_random; xenium_support_fraction; xenium_target_programs,xenium_support_fraction >= 0.50,xenium_support_fraction >= 0.75 and median_delta_vs_random < 0,xenium_median_delta_vs_random=-0.37439; xenium_support_fraction=1; xenium_target_programs=IFN_APC,++,1.0,Targeted-panel Xenium cell-level analysis supports CAF-domain centering of the relevant target program.,Inflammatory cytokine/JAK-STAT candidate axis near antigen-presenting immune programs.
IL6-OSM/LIF-JAKSTAT,IFN/APC antigen,4,TCGA bulk context,tcga_stromal_myeloid_rho; tcga_stromal_myeloid_p; tcga_decoupling_like_rho,tcga_decoupling_like_rho > 0.15,tcga_stromal_myeloid_rho > 0.35 and p < 0.05,tcga_stromal_myeloid_rho=0.484074; tcga_stromal_myeloid_p=7.6174e-12; tcga_decoupling_like_rho=-0.413813,++,1.0,Bulk TCGA PAAD places the candidate axis in a broader stromal-myeloid context; this is non-spatial support only.,Inflammatory cytokine/JAK-STAT candidate axis near antigen-presenting immune programs.
